Recipient Name,Recipient EIN,Recipient Website,Recipient Address
Corporate Accountability (Infact),411322686,http://www.corporateaccountability.org/,"10 Milk Street, Suite 610
Boston, MA, United States 2108"
New England Sikh Study Circle Inc,42636856,N/A,"168 Flanders Rd
Westborough, MA, United States 01581"
iThrive Games Foundation,823846087,https://ithrivegames.org/,"1161 Boylston Street
Newton, MA, United States 02464"
Hampden County Bar Foundation Inc,815475976,https://www.hcbar.org/bar-foundation/,"50 State Street
Springfield, MA, United States 01102"
Gilbert Albert Community Center,300430263,https://gaccinc.org/new/,"155 Washington Street
Dorchester, MA, United States 2121"
Boston-Area Youth Organizing Project,N/A,http://www.byop.org,"565 Boylston Street, 5th Floor
Boston, MA, United States 02116-3601"
Kwong Kow Chinese School,42720327,http://www.kwongkow.org,"87 TYLER STREET
Boston, MA, United States 02111"
Elevated Thought Foundation Inc.,273519031,https://www.elevatedthought.org/,"15 Union St. Suite #120
Lawrence, MA, United States 01840"
Revere Youth in Action,N/A,N/A,"Revere, MA, United States"
Tufts Medical Center,43400617,http://www.tuftsmedicalcenter.org,"800 Washington Street
Boston, MA, United States 02111"
ArtsEmerson,N/A,https://artsemerson.org/,"120 Boylston St.
Boston, MA, United States 02116-4611"
Close to Home Domestic Violence Prevention Initiative,300082690,http://www.c2home.org,"42 Charles St., Ste. A
Dorchester, MA, United States 02122-1441"
Worcester Public Market Inc,815178390,N/A,"4 ASH ST
Worcester, MA, United States 01608-2156"
Build,943386695,http://www.build.org,"Po Box 3316
Redwood City, CA, United States 94064"
Clean Air Task Force Inc,43512550,http://www.catf.us,"114 State Street
Boston, MA, United States 02109"
Anti-Defamation League Foundation,N/A,N/A,"40 Court Street
Boston, MA, United States 02108"
Catholic Schools Foundation,222485502,http://csfboston.org/,"67 Batterymarch St., 6th Fl.
Boston, MA, United States 02110"
Dream Corps,261140201,http://www.thedreamcorps.org/,"436 14th St Ste 920
Oakland, CA, United States 94612"
Economic Mobility Corporation,208720134,https://economicmobilitycorp.org/,"50 Broadway 1604
New York City, NY, United States 10004"
Neighborhood Funders Group,61368627,https://www.nfg.org/,"300 Frank H Ogala Plaza 7th Floor
Oakland, CA, United States 94612"
New Venture Fund (for IllumiNative),N/A,https://democracyallianceg/organi...,"P.O. Box 34607
Washington, DC, United States 20043"
Project RIGHT,N/A,http://www.projectrightinc.org,"320 A Blue Hill Avenue
Roxbury, MA, United States 02121"
Scs Noonan Schlars,455619310,http://noonanscholars.org,"50 Milk Street 18th Floor
Boston, MA, United States 02109"
STAT News,N/A,N/A,"One Exchange Place, Suite 201
Boston, MA, United States 2109"
Boston Public Health Commission,43316655,https://www.bphc.org/,"1010 Massachusetts Ave., 6th Fl.
Boston, MA, United States 02118-2600"
Angkor Dance Troupe,223066416,http://ecommunity.uml.edu/angkor,"40 FRENCH STREET
Lowell, MA, United States 01852"
COMMUNITY EDUCATION PROJECT INC,43458723,http://www.juntoscollaborativeg/c...,"317 Main Street
Holyoke, MA, United States 01040"
Arlington Community Trabajando,43408855,http://www.actinc.org,"599 Canal St., 5th Fl. W.
Lawrence, MA, United States 01840-1244"
Middlesex Community College,N/A,N/A,"591 Springs Rd
Bedford, MA, United States 01730"
Greater Boston Interfaith Organization,N/A,N/A,"Po Box 190892
Roxbury, MA, United States 02119"
Howard University,N/A,N/A,"P.O. Box 417853
Boston, MA, United States 02241-7853"
Womens Institute for Leadership Development,N/A,http://www.wildlabor.org,"33 Harrison Ave
Boston, MA, United States 02108"
Ser-Jobs for Progress,42664574,http://www.ser-jobs.com,"164 Bedford Street
Fall River, MA, United States 02720"
La Comunidad Inc,43470866,http://lacomunidadinc.org,"471 Broadway
Everett, MA, United States 02149"
Refugee and Immigrant Assistance Center,N/A,http://www.riacboston.org,"340 MAIN ST
Worcester, MA, United States 01608"
Bay Path University,42103865,https://www.baypath.edu/,"588 Longmeadow Street
Longmeadow, MA, United States 01106"
Thornton W. Burgess Society,42591080,http://www.thorntonburgess.org,"6 Discovery Hill Rd
East Sandwich, MA, United States 02537"
American Repertory Theatre,42665867,http://www.americanrepertorytheater.org,"64 Brattle Street
Cambridge, MA, United States 2138"
Massachusetts Voter Education Network Inc,272425032,http://www.massvote.org,"41 West Street, Suite 700
Boston, MA, United States 02111"
Center for Law and Education,42594077,N/A,"99 Chauncey Street
Boston, MA, United States 02111"
Center for Health Policy Development,521576801,http://www.nashp.org/,"Two Monument Sq., Ste. 910
Portland, ME, United States 04101-4897"
Fenway Community Development Corporation,42666507,http://www.fenwaycdc.org,"70 Burbank Street
Boston, MA, United States 02115"
Open Sky Community Services,42587863,N/A,"4 Mann Street
Worcester, MA, United States 1602"
FIGHT FOR THE FUTURE EDUCATION FUND,452852041,https://www.fftfef.org/,"PO Box 55071, PMB 95005
Boston, MA, United States 2205"
Greater Boston Legal Services,42103907,http://www.gbls.org,"197 Friend St
Boston, MA, United States 2114"
Centro de Apoyo Familiar,N/A,http://www.mycaf.org,"375 Common St No 204
Lawrence, MA, United States 01840-1268"
Neighbors United for A Better East Boston (nube),N/A,http://nubeastboston.org,"89 SOUTH ST SUITE 700
Boston, MA, United States 02111"
Anna Maria College,42002060,http://www.annamaria.edu,"50 Sunset Lane
Paxton, MA, United States 01612"
Cambridge Public Schools,N/A,http://www3.cpsd.us,"159 THORNDIKE ST
Cambridge, MA, United States 02141"
Massachusetts Legal Assistance Corporation,42790762,http://www.mlac.org,"11 Beacon Street
Boston, MA, United States 02108-3017"
Waltham Public Schools,46001416,https://www.walthampublicschools.org/,"617 Lexington Street
Waltham, MA, United States 02452"
Commongood Careers,N/A,N/A,"38 Chauncy Street Suite 1001
Boston, MA, United States 02111"
New England Seafarers Mission Inc.,46043955,N/A,"1 Black Falcon Ave
Boston, MA, United States 2210"
Neighborhood House Charter School,43288541,http://www.thenhcs.org/,"21 Queen St.
Dorchester, MA, United States 02122"
International Institute of Boston Inc,N/A,HTTP://IINE.US,"2 Boylston St Fl 3
Boston, MA, United States 02116"
Cairn Hill Inc,455452706,http://www.cairnhilledu.org,"183 Fays Avenue
Lynn, MA, United States 01904"
NATIONAL CENTER OF AFRO AMERICANARTISTS INC,42729933,http://ncaaa.org,"300 WALNUT AVENUE
Boston, MA, United States 02119"
The Conservation Project Inc,N/A,N/A,"20 University Road 7th Floor
Cambridge, MA, United States 02138"
Wellfleet Conservation Trust,222559199,http://www.wellfleetconservationtrus...,"Po Box 84
Wellfleet, MA, United States 02667"
Clinton Church Restoration Inc,821322151,N/A,"PO Box 1075
Great Barrington, MA, United States 01230"
Wampanoag Tribe of Gay Head,N/A,http://www.wampanoagtribe.net,"20 Black Brook Rd
Chilmark, MA, United States 2535"
Salem Academy Charter School Foundation (Salem Foundation for Service Education Inc.),830368169,http://salemacademycs.org,"45 Congress Street
Salem, MA, United States 1970"
"Boys and Girls Club of Boston, Chinatown",N/A,http://www.bgcb.org/contact_list.cfm,"50 Congress St., Ste. 730
Boston, MA, United States 02109-4035"
Conway School of Landscape Design,N/A,http://www.csld.edu,"180 Pleasant St
Easthampton, MA, United States 01027-1287"
Andover Committee for A Better Chance Inc,46152382,http://www.andoverabc.org/,"134 Main Street
Andover, MA, United States 1810"
Center for Labor Education and Research,222604923,N/A,"375 Centre Street
Jamaica Plain, MA, United States 02130"
South Sudanese Enrichment for Families Inc,432043910,http://www.sudaneseeducationfund.org,"Po Box 492
Lincoln, MA, United States 01773"
Massachusetts Law Reform Institute,46004303,https://www.mlri.org/,"40 Court St., Ste. 800
Boston, MA, United States 02108-2202"
Massachusetts Women of Color Coalition,N/A,N/A,"Worcester, MA, United States"
Reader to Reader,30496901,http://www.readertoreader.org,"38 Woodside Avenue
Amherst, MA, United States 01002"
Pioneer Valley Workers Center,46609717,https://www.pvworkerscenter.org/,"20 Hampton Ave, Ste. 200
Northampton, MA, United States 01060"
Springfield Vietnamese American Civic Association,43239763,N/A,"433 Belmont Ave.
Springfield, MA, United States 01108-0000"
Veritas Forum,N/A,N/A,"Po Box 380807
Cambridge, MA, United States 02238"
Amherst Committee for A Better Chance,46193013,http://www.amherstabetterchance.org,"AC 2286 PO Box 5000
Amherst, MA, United States 01002-5000"
Harvard Foundation,N/A,https://harvardfoundation.fas.harvar...,"Thayer Hall B02
Cambridge, MA, United States 02138-0000"
Latinos Unidos en Massachusetts,261364545,N/A,"198 Ferry St.
Everett, MA, United States 02149-5641"
Nueva Esperanza Inc,42774010,http://www.nuevaofholyoke.org,"401 Main Street
Holyoke, MA, United States 1040"
Peer Servants,43007191,http://peerservants.org,"591 North Avenue, Door 2/Floor 2
Wakefield, MA, United States 1880"
Urban Farming Institute (UFI),453961022,http://urbanfarminginstitute.wordpre...,"34 Linwood St
Roxbury, MA, United States 02119"
Children's Hospital Boston,N/A,http://www.brazeltontouchpoints.org,"401 Park Drive, Suite 602
Boston, MA, United States 02215"
The Mayflower Society (general Society of Mayflower Descendants),636005641,N/A,"4 Winslow St
Plymouth, MA, United States 02360-3313"
Scroll Media Inc,461787646,N/A,"Four Athens Ter Apt 1
Cambridge, MA, United States 02138"
"SER - Jobs for Progress, Southeastern Massachusetts",42664574,http://www.ser-jobs.com,"164 Bedford St
Fall River, MA, United States 02720-3039"
Building Audacity,N/A,https://www.buildingaudacity.org/,"75 Allen Ave
Lynn, MA, United States 01902"
"YouthBuild USA, Inc.",N/A,https://mott.fluxx.io/hgrantrss/20806295,"58 Day Street
Somerville, MA, United States 02144"
Mount Ida College,42104736,http://www.mountida.edu,"777 Dedham St
Newton, MA, United States 02459"
"American Indian Graduate Center, Inc.",850222386,http://www.aigcs.org,"3701 San Mateo Blvd Ne Suite 200
Albuquerque, NM, United States 87110"
Boston Center for the Arts Inc,237089998,http://www.bcaonline.org,"539 Tremont Street
Boston, MA, United States 02116"
Gedakina Inc,331075692,http://www.gedakina.org,"PO Box 2363
Amherst, MA, United States 1004"
Los Angeles Alliance for A New Economy,954459427,http://www.laane.org,"464 Lucas Avenue Suite 202
Los Angeles, CA, United States 90017"
Marine Biological Laboratory,42104690,https://www.mbl.edu/,"7 MBL Street
Woods Hole, MA, United States 02543"
Massachusetts College of Art and Design,N/A,http://www.massart.edu,"621 Huntington Avenue
Boston, MA, United States 02115-5882"
Resilient Coders,471882343,http://www.resilientcoders.org,"10 Greenley Pl
Jamaica Plain, MA, United States 02130-2610"
"Victory Programs, Inc.",42575322,http://www.vpi.org,"965 Massachusetts Avenue
Boston, MA, United States 02118"
Youth Options Unlimited Boston,N/A,http://www.youboston.org/,"7 Palmer Street, 2nd Floor
Roxbury, MA, United States 2119"
Trustees of Boston University,N/A,N/A,"881 Commonwealth Avenue
Boston, MA, United States 02118-2340"
Prx Incorporated,263347402,http://www.prx.org,"PO Box 382234
Cambridge, MA, United States 02238"
3rd Eye Youth Empowerment,43582197,http://www.3rdeyeunlimited.com,"48 Union St.
New Bedford, MA, United States 02740-7255"
Institute for Community Health,N/A,http://icommunityhealth.org,"163 gore street
Cambridge, MA, United States 02141"
THE CARIBBEAN FOUNDATION OF BOSTON,42566212,http://www.caribbeanfoundationofbost...,"317 Blue Hill Avenue
Dorchester, MA, United States 02121"
Brazilian American Center (BRACE),454857122,http://www.brazilianamericancenter.org/,"560 Waverly St.
Framingham, MA, United States 01702"
Health Resources in Action,42229839,https://hria.org/,"Two Boylston St., Ste. 4
Boston, MA, United States 02116-4737"
American Islamic Congress,N/A,http://www.aicongress.org,"263 Huntington Ave., Ste. 315
Boston, MA, United States 02115-4506"
John F. Kennedy Library Foundation,46113130,http://www.jfklibrary.org,"Columbia Point
Boston, MA, United States 02125"
Asian University for Women,N/A,N/A,"1100 Massachusetts Avenue, No 300
Cambridge, MA, United States 02138"
Demos: A Network for Ideas and Action,134105066,http://www.demos.org/policyshop,"80 Broad St. 4th Fl.
New York City, NY, United States 10004-2258"
Halcyon Music Festival,464402987,N/A,"43 Lee St.
Cambridge, MA, United States 02139"
Roxbtjry Weston Nursery School,42394519,http://www.roxwes.org,"349 Boston Post Road
Weston, MA, United States 02493"
Innovators for Purpose,300841640,https://innovatorsforpurpose.org/,"825 Main St.
Acton, MA, United States 01720-5823"
Black Feather Rescue Inc,331126077,http://www.blackfeatherhorserescue.org,"190 Rear Russell Mills Road
Plymouth, MA, United States 02360"
Ad Club Foundation Inc,432050395,http://www.adclub.org,"25 Daly Road
Medford, MA, United States 02155"
Museum of Art and Photography Foundation Inc,822561632,N/A,"101 Federal St Ste 1405
Boston, MA, United States 02110"
Academy of the Pacific Rim Charter School Foundation Inc.,43286025,http://www.pacrim.org,"One Westinghouse Plaza
Hyde Park, MA, United States 2136"
"Community Labor United, Inc.",N/A,http://massclu.org,"8 Beacon Street 5th Floor
Boston, MA, United States 02108"
Lincoln Institute of Land Policy,866021106,http://www.lincolninst.edu/,"113 Brattle Street
Cambridge, MA, United States 2138"
Newton Cultural Alliance,270590276,http://www.newtonculture.org,"35 Webster Street
West Newton, MA, United States 02465"
UP Academy Charter School of Boston,450625911,http://www.upacademyboston.org,"215 Dorchester St
Boston, MA, United States 02127"
Family Diversity Projects,43326247,http://www.familydiv.org,"PO BOX 1246
Amherst, MA, United States 01004"
Community Legal Aid,42446242,http://www.communitylegal.org,"405 Main St., 4th Fl.
Worcester, MA, United States 01608-1725"
Massachusetts Voter Table,N/A,N/A,"17 Peters St.
Cambridge, MA, United States 02139-4520"
New Schools Fund,943281780,https://www.newschools.org/,"1616 Franklin St., 2nd Fl.
Oakland, CA, United States 94612-2829"
Massachusetts Public Health Association,N/A,http://mphaweb.org,"434 Jamaicaway
Jamaica Plain, MA, United States 02130-2009"
Tuckernuck Land Trust,43333612,N/A,"Po Box 1093
Nantucket, MA, United States 02554"
Chinese Culture Connection,43103223,N/A,"99 Dartmouth Street
Malden, MA, United States 02148"
Suffolk University,42133255,http://www.suffolk.edu,"Eight Ashburton Place
Boston, MA, United States 02108-2701"
ENLACE DE FAMILIAS DE HOLYOKEHOLYOKE FAMILY NETWORK INC,43470427,http://www.hfn.org,"299 MAIN STREET
Holyoke, MA, United States 01040"
Eagle Eye Institute,223124387,http://www.eagleeyeinstitute.org,"14 Chapel Street
Somerville, MA, United States 02144"
Metco Inc,46179391,http://metcoinc.org,"40 Dimock St
Boston, MA, United States 02119"
NAACP,46188955,http://www.bostonnaacp.org,"P.O. Box 8368
Boston, MA, United States 02114-0034"
MA Coalition for Occu Safety Health,N/A,N/A,"1532B Dorchester Ave
Boston, MA, United States 02122"
Community Change,42445805,http://www.communitychangeinc.org,"14 BEACON ST STE 605
Boston, MA, United States 02108-3716"
Haitian-American Public Health Initiatives,43060989,http://www.haphi.org,"1603 Blue Hill Ave
Mattapan, MA, United States 02126"
Greenroots,812718273,http://www.greenrootschelsea.org,"227 Marginal Street
Chelsea, MA, United States 02150"
Wôpanâak Language Reclamation Project,N/A,N/A,"PO Box 2241
Mashpee, MA, United States 2649"
African Cultural Services,273145250,https://africanowaltham.org/,"46 Elson Rd.
Waltham, MA, United States 02451-0715"
Saheli Inc,30547972,http://saheliboston.org/,"11 Bedford St
Burlington, MA, United States 01803"
Initiative for a New Economy,204361451,http://www.initiativeforaneweconomy.com,"265 Franklin St., 12th Fl.
Boston, MA, United States 02110-3113"
Integrate Health Inc,N/A,https://integratehealth.org/,"Po Box 605
Medway, MA, United States 02053"
Center for Law and Social Policy,237000150,https://www.clasp.org/blog,"1310 L Street, NW
Washington, DC, United States 20005"
Karamu House,340714448,http://www.karamuhouse.org,"2355 East 89th Street
Cleveland, OH, United States 44106-3403"
Sterling and Francine Clark Art Institute,42163004,http://www.clarkart.edu,"225 South Street
Williamstown, MA, United States 01267-2878"
Transformative Culture Project Inc,N/A,N/A,"Holyoke High School
Holyoke, MA, United States 01040"
Casa Latina Inc,222477843,http://www.casalatinainc.org,"140 Pine Street Room 6
Florence, MA, United States 01062"
Philanthropy Massachusetts,N/A,N/A,"133 Federal Street Suite 802
Boston, MA, United States 02110"
PROSTATE HEALTH EDUCATION NETWORK INC,331042404,http://www.rapcancer.org/,"500 Victory Rd 4th Fl
Quincy, MA, United States 02453"
Crispus Attucks Childrens Center,42457984,http://crispus-attucks.org,"105 Crawford Street
Dorchester, MA, United States 02121"
Crispus Attucks Childrens Center,42457984,http://crispus-attucks.org,"105 Crawford Street
Dorchester, MA, United States 02121"
YWCA Northeastern Massachusetts,42130847,http://www.ywcanema.org,"38 Lawrence Street
Lawrence, MA, United States 1840"
"Amazing Things Arts Center, Inc.",201332310,http://www.amazingthings.org,"160 Hollis St
Framingham, MA, United States 1702"
Urban Food Initiative Inc,460673197,http://www.dailytable.org,"450 Washington Street
Dorchester, MA, United States 02124"
Urban Students Empowered Foundation,N/A,http://www.usempowered.org,"3047 N. Lincoln Ave., Ste. 400
Chicago, IL, United States 60654"
AMVETS Post 41,46140397,N/A,"247 Mt Auburn St
Watertown, MA, United States 02472"
Boston College,42103545,http://www.bc.edu,"140 Commonwealth Ave.
Chestnut Hill, MA, United States 02467-3800"
"Black and Pink, Inc.",273930676,http://www.blackandpink.org/,"P.O. Box 231126
Boston, MA, United States 02123-1126"
Grow Native Massachusetts Inc.,273673855,http://www.grownativemass.org,"240 Beaver St
Waltham, MA, United States 2452"
Lower Cape Cod Community Develop-Ment Corporation,N/A,N/A,"3 Main Street Mercantile Unit 7
Eastham, MA, United States 02642"
Visioning Bear Circle Intertribal Coalition,471350294,http://visioningbear.org/,"Po Box 1286 91 Main Street
Greenfield, MA, United States 01302"
Multicultural AIDS Coalition Inc,N/A,N/A,"566 Columbus Avenue
Boston, MA, United States 02118"
Sudanese Education Fund,N/A,http://www.sudaneseeducationfund.org,"61 Massachusetts Ave.
Arlington, MA, United States 02474-8612"
Essex County Community Foundation,43407816,http://www.eccf.org,"175 Andover St., Ste. 101
Danvers, MA, United States 01923-1443"
Friends of the Boston Police,N/A,N/A,"83 Speen Street
Natick, MA, United States 01760"
A Better Tomorrow Services,421728754,http://www.abticharity.org,"153B MAIN STREET
Everett, MA, United States 02149"
Latin American Health Alliance Worcester,N/A,N/A,"27 Vernon Street
Worcester, MA, United States 01610"
Connecticut River Conservancy,42148397,http://www.ctriver.org,"15 Bank Row
Greenfield, MA, United States 01301"
Interlock Media Films,43196958,N/A,"355 Cambridge Street
Cambridge, MA, United States 2141"
Everett Haitian Community Center,N/A,https://theehcc.org/,"427A Broadway
Everett, MA, United States 02149-3472"
Youth Advocacy Foundation Inc,N/A,http://www.youthadvocacyfoundation.org,"44 Bromfield St 2nd Fl
Boston, MA, United States 02108"
Saint Monicas Home,470490169,http://www.stmonicas.com,"17 Highland Park St
Roxbury, MA, United States 02119-1436"
"New Economy Coalition, Inc",30278626,http://neweconomy.net/,"c/o Root Capital
Cambridge, MA, United States 2139"
"YWCA Central Massachusetts, Inc.",42105873,http://www.ywcacentralmass.org,"One Salem Square
Worcester, MA, United States 1608"
"Ascendus, Inc.",113317234,https://www.ascendus.org/,"80 Maiden Lane
Manhattan, NY, United States 10038"
Church of the Messiah,N/A,N/A,"16 Church St
Woods Hole, MA, United States 02543"
On The Move: Greater Boston Transportation Justice,N/A,http://bostononthemove.org/,"367 Washington St.
Boston, MA, United States 02108-5110"
Paige Academy,237404791,http://www.paigeacademy.org,"28 Highland Street
Roxbury, MA, United States 02119"
Stone Soup Artists Activists Communityresource Center Inc,272179313,http://www.stonesoupworcester.org,"4 King Street
Worcester, MA, United States 01610"
COMMUNITY WORKS INC,42762623,http://www.communityworks.com,"PO Box 590172
Newton Center, MA, United States 2459"
"The Berkshire Taconic Community Foundation, Inc.",61254469,http://feeds.feedburner.com/btcf-news,"800 N Main St
Sheffield, MA, United States 1257"
Community Foundation of Western Massachusetts,N/A,http://www.communityfoundation.org,"333 Bridge Street
Springfield, MA, United States 01103"
Cultural Center of Cape Cod,N/A,http://www.capecodfoundation.org,"307 Old Main Street
South Yarmouth, MA, United States 02664"
Greater Worcester Community Foundation,42572276,http://www.greaterworcesterg/nonp...,"370 Main Street, Suite 650
Worcester, MA, United States 1608"
Northeast Water Innovation Network (newin),453674945,N/A,"19 Kendrick Street
Wrentham, MA, United States 02093"
Who's Got Morale,475141514,https://whosgotmorale.com/,"30 Elm Hill Park
Roxbury, MA, United States 02121"
"COMPASS (Community Providers of Adolescent Services, Inc.)",42539383,http://www.compassboston.org,"294 Bowdoin Street
Dorchester, MA, United States 2122"
Volunteers in Medicine Berkshires,900140004,http://vimberkshires.org,"777 South Main Street
Great Barrington, MA, United States 01230"
Congregation Kehililath Israel,N/A,http://www.congki.org,"384 Harvard St
Brookline, MA, United States 02446"
Latin American and Caribbean Network for Democracy,N/A,N/A,"Offc. No. 5256, Cochituate Sta.
Wayland, MA, United States 01778"
Woburn Historical Society Inc,680639223,N/A,"621 Main Street
Woburn, MA, United States 01801"
Citizen Schools Inc,43259160,http://www.citizenschoolsg/massac...,"1 Beacon Street
Boston, MA, United States 2108"
Brazilian Worker Center,43273525,http://www.braziliancenter.org,"14 Harvard Avenue Second Floor
Allston, MA, United States 02134"
Coastal Foodshed,824559064,https://coastalfoodshed.org/blog,"466 Brock Ave.
New Bedford, MA, United States 02744"
Health Care for All,43071598,https://hcfama.org/,"One Federal St., 5th Fl.
Boston, MA, United States 02110-2003"
Hopewell Inc,42438910,http://www.hopewellinc.org,"3 Allied Dr
Dedham, MA, United States 02026-6122"
LAMA YESHE WISDOM PUBLICATIONSx,N/A,N/A,"Po Box 356
Weston, MA, United States 02493"
New Profit Inc,N/A,N/A,"200 Clarendon Street 44th Floor
Boston, MA, United States 02116"
Black Lives Matter - Boston Chapter,N/A,https://blacklivesmatterboston.org/,"Boston, MA, United States"
Blessed Sacrament,42106165,N/A,"10 Diamond St
Walpole, MA, United States 02081-3499"
Centrihall Chinese Christian Education Serv,743074940,N/A,"197 Littleton Road, Bldg. A
Chelmsford, MA, United States 01824"
David Grubin Productions,N/A,http://www.grubin.com,"125 W. 94th St.
New York City, NY, United States 10025-7016"
Equitable Origin Inc,474007160,http://www.equitableorigin.org,"40 Laurel Hill Drive
Leverett, MA, United States 01054"
Foundation for Underway Experiential Learning,814752116,https://www.fuelprogram.org/,"75 Summer St.
Vineyard Haven, MA, United States 02568"
Harvard Project on American Indian Economic Development,N/A,N/A,"Cambridge, MA, United States 02138-3419"
"Herring Pond Wampanoag Tribal Council, Inc",262227626,N/A,"128 Herring Pond Rd
Plymouth, MA, United States 02360"
Hopewell Inc,N/A,http://www.hopewellinc.org,"3 Allied Dr Ste 308
Dedham, MA, United States 02026"
Kids in Tech,813311916,N/A,"17 DEAN DR
Lowell, MA, United States 01854-1491"
Massachusetts Association of Community Health Inc,43535724,N/A,"40 COURT ST FL 10
Boston, MA, United States 02108-2212"
Massachusetts Charter Public School Association,N/A,http://masscharterschools.org,"11 Beacon St., Ste. 340
Boston, MA, United States 02108-3024"
Massachusetts Department of Elementary and Secondary Education,42676661,http://www.doe.mass.edu/,"75 Pleasant St
Malden, MA, United States 2148"
Massachusetts Education Justice Alliance - Education Fund,N/A,N/A,"375 Centre Street
Boston, MA, United States 02130"
Movement for Family Power,N/A,https://www.movementforfamilypower.org/,"1207 F Street NE
Washington, DC, United States 20002"
Nelson Mandela Children's Fund,N/A,N/A,"89 South Street Suite 701
Boston, MA, United States 02111"
New England Minority Supplier Development Council,42579968,N/A,"Purchasing Council Inc.
Boston, MA, United States 02116-0000"
Oldways Preservation and Exchangetrust Inc,43031978,http://www.oldwayspt.org,"266 Beacon Street
Boston, MA, United States 02116"
"Presente Films, LLC",465110829,http://www.theunafraidfilm.com,"1914 East 10th Street
Austin, TX, United States 78702"
Prime Coalition,262069322,http://www.admcf.org,"859 Willard Street Suite 400
Quincy, MA, United States 02169"
South Shore YMCA,42105881,http://ssymca.org,"79 Coddington Street
Quincy, MA, United States 2169"
"The Massachusetts Institute for a New Commanwcalth, Inc",N/A,N/A,"11 Beacon Street, Suite 500
Boston, MA, United States 02108"
Urbano Project Inc,455436379,http://urbanoproject.org,"29 Germania Sueet Building F
Boston, MA, United States 02130-2374"
"Joslin Diabetes Center, Inc.",42203836,http://www.joslin.org,"One Joslin Place
Boston, MA, United States 2215"
Berkshire Resources for Integration of Diverse Groups & Education Inc,261211169,http://www.multiculturalbridge.org,"17 Main Street Suite 2
Lee, MA, United States 01238"
Winchester Committee for A Better Chance Inc,237121159,http://www.winchester.americantowns.com,"PO Box 94
Winchester, MA, United States 01890"
Boston University School of Public Health,42103547,http://bu.edu/sph,"715 Albany St
Boston, MA, United States 02118"
PROJECT SAVE ARMENIAN PHOTOGRAPH ARCHIVES INC,222661086,http://www.projectsave.org,"P.O. Box 236,65 Main Street
Watertown, MA, United States 02471-0236"
Project Native,200961315,N/A,"PO Box 576
Great Barrington, MA, United States 01230"
Massachusetts Voter Table,N/A,N/A,"89 South St
Boston, MA, United States"
Health Equity International,43067595,http://www.healthequityintl.org,"40 Glen Ave
Newton, MA, United States 2459"
Massachusetts Immigrant Refugee Advocacy Inc,N/A,N/A,"105 Chauncy St 109
Boston, MA, United States 02111"
Food Project,N/A,N/A,"555 DUDLEY STREET
Dorchester, MA, United States 02125"
Dover Land Conserv Trust,46122394,N/A,"PO BOX 562
Dover, MA, United States 2030"
Taconic Fund,N/A,N/A,"c/o Berkshire Taconic Community Foundation
Sheffield, MA, United States 01257-9503"
Massachusetts Association of Minority Law Enforcement Officers Inc,42777290,N/A,"61 Columbia Road
Dorchester, MA, United States 02121"
Welcome Project,43088140,https://www.welcomeproject.org/about-us,"530 Mystic Ave, #111
Somerville, MA, United States 02145"
Islamic Society of Boston Cultural Center,N/A,https://isbcc.org/,"100 Malcolm X Blvd
Roxbury, MA, United States 02120"
Boston Alliance of Gay and Lesbian Youth,42785336,http://www.bagly.org,"28 Court Sq.
Boston, MA, United States 02108"
Boys and Girls Club of Greater Lowell,42104396,http://www.lbgc.org,"657 Middlesex Street
Lowell, MA, United States 1851"
East Boston Neighborhood Health Center,232425849,http://www.ebnhc.org,"10 GOVE ST
East Boston, MA, United States 2128"
Thrive Scholars,N/A,https://www.thrivescholars.org/,"606 S. Olive Street, Suite 2150
Los Angeles, CA, United States 90014"
Student Public Interest Research Group,262486476,N/A,"294 Washington St, Suite 500
Boston, MA, United States 2108"
Friends of the Rafael Hernandez School Inc,43532825,https://rafaelhernandezk8g/about-...,"61 School St
Roxbury, MA, United States 2119"
"Cape Verdean Association of Brockton, Inc.",42636477,http://cvassociation.org,"575 North Montello Street
Brockton, MA, United States 2301"
Boston Chinatown Neighborhood,N/A,N/A,"885 Washington Street
Boston, MA, United States 02111"
East Boston Ecumenical Community Council (EBECC),42774242,http://www.ebecc.org,"276 Meridian Street
East Boston, MA, United States 2128"
Indigenous Education Foundation Oftanzania,43511943,http://andoveryouthservices.com,"Po Box 874
Andover, MA, United States 01810"
Conexion Inc,208056726,http://www.conexion-all.org,"75 State Street Street 9th Floor
Boston, MA, United States 02109"
The Redemptoris Mater House of Formation Inc,371537512,N/A,"774 Boylston Street
Chestnut Hill, MA, United States 2467"
The Norman Rockwell Museum,N/A,http://nrm.org,"9 Glendale Road
Stockbridge, MA, United States 01262"
Boston Chinatown Neighbthood Center Inc,N/A,N/A,"885 Washington St
Boston, MA, United States 02111-1415"
The Norman Rockwell Museum,N/A,http://nrm.org,"9 Glendale Road
Stockbridge, MA, United States 01262"
League of Women Voters Lotte E. Scharfman Memorial Fund,237147454,http://www.lwvma.org,"90 Canal Street
Boston, MA, United States 2114"
Aaron's Presents,464010444,http://www.aaronspresents.org,"180 Main Street
Andover, MA, United States 01810"
University of Massachusetts Amherst Foundation,542084125,http://www.umass.edu/giving/contact/...,"239 Whitmore Administrative Building 181 Presidents Dr
Amherst, MA, United States 01003-9313"
Enroot,42103961,http://www.enrooteducation.org,"99 Bishop Richard Allen Drive
Cambridge, MA, United States 02139"
